ido_word,esperanto_word,in_current_dict
Antanas Merkys,Antanas Merkys,False
Antanas Smetona,Antanas Smetona,False
Anthony Albanese,Anthony Albanese,False
Anthony Bourdain,Anthony Bourdain,False
Anthony Burgess,Anthony Burgess,False
Anthony Eden,Anthony Eden,False
Anthony Giddens,Anthony Giddens,False
Anthony Hopkins,Anthony Hopkins,False
Anthony Mamo,Anthony Mamo,False
Anthony Perkins,Anthony Perkins,False
Anthony Quinn,Anthony Quinn,False
Antiqua Egiptia,Antikva Egiptio,False
Antiqua Grekia,Antikva Grekio,False
Antiqua Roma,Romio,False
Antoine Becquerel,Antoine César Becquerel,False
Antoine Gizenga,Antoine Gizenga,False
Antoine Griezmann,Antoine Griezmann,False
Antoine Lavoisier,Antoine Lavoisier,False
Anton Bruckner,Anton Bruckner,False
Anton Graff,Anton Graff,False
Antoni Gaudí,Antoni Gaudí,False
Antoni Tàpies,Antoni Tàpies,False
Antonin Artaud,Antonin Artaud,False
Antoninus Pius,Antonino Pia,False
Antonio Banderas,Antonio Banderas,False
Antonio Canova,Antonio Canova,False
Antonio Gramsci,Antonio Gramsci,False
Antonio Machado,Antonio Machado,False
Antonio Negri,Antonio Negri,False
Antonio Salieri,Antonio Salieri,False
Antonio Saura,Antonio Saura,False
Antonio Segni,Antonio Segni,False
Antonio Skármeta,Antonio Skármeta,False
Antonio Stradivari,Antonio Stradivari,False
Antonio Vivaldi,Antonio Vivaldi,False
Antonis Samaras,Antonis Samaras,False
Antony Hewish,Antony Hewish,False
Antonín Dvořák,Antonín Dvořák,False
Antonín Novotný,Antonín Novotný,False
Antonín Zápotocký,Antonín Zápotocký,False
Ants Piip,Ants Piip,False
Antti Tuuri,Antti Tuuri,False
António Vieira,António Vieira,False
Anwar Sadat,Anŭar as-Sadat,False
Apocalypse Now,Apocalypse Now,False
Aquobarilo Itaipu,Itajpuo,False
Aquofalo Viktoria,Viktoria Akvofalo,False
Arabiana Ligo,Ligo de Arabaj Ŝtatoj,False
Aram Hachaturyan,Aram Ĥaĉaturjan,False
Arcangelo Corelli,Arcangelo Corelli,False
Ardem Patapoutian,Ardem Pataputian,False
Aretha Franklin,Aretha Franklin,False
Ariana Grande,Ariana Grande,False
