ido_word,esperanto_word,in_current_dict,in_wiktionary
Konioforma skripturo,Kojnoskribo,False,no
Konocala cienco,Kognoscienco,False,no
Konstanta funciono,Konstanta funkcio,False,no
Konstanta revelado,Konstanta revelacio,False,no
Konstitucala monarkio,Konstitucia monarkio,False,no
Konstruktita linguo,Konstruita lingvo,False,no
Kontinentala blokuso,Kontinenta Blokado,False,no
Kontinentala kongreso,Kontinenta Kongreso,False,no
Kontinua funciono,Kontinua funkcio,False,no
Kontinuo mekaniko,Kontinuaĵa mekaniko,False,no
Koordinatala sistemo,Koordinatsistemo,False,no
Kordofana lingui,Kordofana lingvaro,False,no
Koreana linguo,Korea lingvo,False,no
Korento alternanta,Alterna kurento,False,no
Koresponda shakoludo,Koresponda ŝako,False,no
Kornwalana linguo,Kornvala lingvo,False,no
Korpo linguistiko,Korpusa lingvistiko,False,no
Kosmala polvo,Kosma polvo,False,no
Kosmala radiaco,Kosma radiado,False,no
Kremlin,Kremlo,False,no
Kreola linguo,Kreola lingvo,False,no
Kristalala strukturo,Kristala strukturo,False,no
Kroata linguo,Kroata lingvo,False,no
Kubana revoluciono,Kuba revolucio,False,no
Kulturala heredo,Kultura heredo,False,no
Kulturala studii,Kulturaj sciencoj,False,no
Kumbriana linguo,Kumbria lingvo,False,no
Kurasizita vehilo,Kirasaŭto,False,no
Kurda linguo,Kurda lingvaro,False,no
Kuroniana linguo,Kurona lingvo,False,no
Kushiana lingui,Kuŝida lingvaro,False,no
Kvena linguo,Kvena lingvo,False,no
Ladina linguo,Ladina lingvo,False,no
Laokoon,Laokoonto,False,no
Laomedon,Laomedono,False,no
Laplasal operacanto,Laplaca operatoro,False,no
Larja linguomodelo,Granda lingvomodelo,False,no
Lasta vesperomanjo,Lasta Vespermanĝo,False,no
Latenta kaloro,Latenta varmo,False,no
Latina linguo,Latina lingvo,False,no
Latinida filologio,Romanistiko,False,no
Latinida linguo,Latinida lingvaro,False,no
Latviana linguo,Latva lingvo,False,no
Lego ciencala,Scienca leĝo,False,no
Leonana linguo,Leona lingvo,False,no
Libera merkato,Libera merkato,False,no
Libera programaro,Libera programaro,False,no
Libiana dezerto,Libia Dezerto,False,no
Limburgana linguo,Limburga lingvo,False,no
Limousin,Limoĝio,False,no
Lineal equaciono,Lineara ekvacio,False,no
Lineala funciono,Lineara funkcio,False,no
Lingua franca,Lingvafrankao,False,no
Lingual aranjeso,Lingvoplanado,False,no
Linguala ideologio,Lingva ideologio,False,no
Linguala yuri,Lingvaj rajtoj,False,no
Linguistiko komparata,Kompara lingvoscienco,False,no
Literaturala jenro,Literatura ĝenro,False,no
Literaturala verko,Literaturaj verkoj,False,no
Lituana linguo,Litova lingvo,False,no
Livoniana linguo,Livona lingvo,False,no
Logikala disjunciono,Logika aŭo,False,no
Logikala nego,Logika neo,False,no
Lokala reto,Loka reto,False,no
Luca dialekto,Luca dialekto,False,no
Luxemburgiana linguo,Luksemburga lingvo,False,no
Luzon,Luzono,False,no
Lyon,Liono,False,no
Magiala quadrato,Magia kvadrato,False,no
Magnetala feldo,Magneta kampo,False,no
Makedoniana linguo,Makedona lingvo,False,no
Malayala linguo,Malajala lingvo,False,no
Maltana linguo,Malta lingvo,False,no
Manjebla salo,Salo,False,no
Manneken pis,Manneken Pis,False,no
Mansi linguo,Mansa lingvo,False,no
Manxana linguo,Manksa lingvo,False,no
Mapuche linguo,Mapuĉa lingvo,False,no
Marala nivelo,Marnivelo,False,no
Matematikala biologio,Matematika biologio,False,no
Matematikala fiziko,Matematika fiziko,False,no
Matematikala konstanto,Matematika konstanto,False,no
Matematikala logiko,Matematika logiko,False,no
Matematikala modelo,Matematika modelo,False,no
Materio obskura,Malluma materio,False,no
Mator linguo,Matora lingvo,False,no
Mazandarana linguo,Mazandarana lingvo,False,no
Medicinala skolo,Medicina fakultato,False,no
Medikala etiko,Medicina etiko,False,no
Medikala signo,Klinika signo,False,no
Mediteranea klimato,Mediteranea klimato,False,no
Mekanikala kalkulilo,Mekanika kalkulilo,False,no
Meklin,Meĥleno,False,no
Memnon,Memnono,False,no
Merkala linguo,Marklingvo,False,no
Meshchera linguo,Meŝĉera lingvo,False,no
Metamorfa roko,Metamorfa rokaĵo,False,no
Metrika spaco,Metrika spaco,False,no
Meza paleolitiko,Meza Paleolitiko,False,no
Mezepokala literaturo,Mezepoka literaturo,False,no
Milital aviacilo,Militaviadilo,False,no
Militala judicio,Militleĝo,False,no
Militala tanko,Tanko,False,no
Minoritata linguo,Minoritata lingvo,False,no
Minoritatala grupo,Malplimulto,False,no
